Location,Process Name,Client,Revenue Opportunity,RO W-1,RO W-2,RO W-3,Rev Ach W-1,Rev Ach W-2,Rev Ach W-3,Rev Loss W-1,Rev Loss W-2,Rev Loss W-3,Rev Loss Overall
ASR,Meesho Reverse,Meesho,1449000.0,327194.0,327194.0,327194.0,358041.0,341319.0,314649.0,0.0,0.0,12545.0,0.0
ASR,Meesho NCH,Meesho,124000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,0.0,0.0,0.0,0.0
ASR,Meesho SS Chat,Meesho,6701450.0,1513231.0,1507301.0,1475078.0,1533570.0,1507301.0,1475078.0,0.0,0.0,0.0,0.0
ASR,Meesho Pre Claim,Meesho,4436500.0,1001790.0,1001790.0,1001790.0,1123777.0,1067037.0,1070072.0,0.0,0.0,0.0,0.0
ASR,Meesho CX Chat,Meesho,3726400.0,841445.0,841445.0,841445.0,897572.0,901439.0,901160.0,0.0,0.0,0.0,0.0
ASR,Meesho Ads Calling,Meesho,1060000.0,239355.0,239355.0,239355.0,268313.0,252810.0,263211.0,0.0,0.0,0.0,0.0
ASR,Swiggy RHI,Swiggy,1556932.0,351565.0,351565.0,351565.0,411712.0,426840.0,424947.0,0.0,0.0,0.0,0.0
ASR,Swiggy RM,Swiggy,433200.0,89661.0,97819.0,78592.0,89661.0,97819.0,78592.0,0.0,0.0,0.0,0.0
ASR,Swiggy Price Parity,Swiggy,112000.0,25290.0,25290.0,25290.0,29217.0,30435.0,29217.0,0.0,0.0,0.0,0.0
ASR,Swiggy PS Ads,Swiggy,192500.0,43468.0,43468.0,43468.0,52938.0,51333.0,52938.0,0.0,0.0,0.0,0.0
ASR,Swiggy Own Media,Swiggy,41391.0,23652.0,14783.0,2957.0,23652.0,14783.0,2957.0,0.0,0.0,0.0,0.0
ASR,Swiggy PAM Servicing,Swiggy,2551300.0,576100.0,576100.0,576100.0,674922.0,644832.0,624943.0,0.0,0.0,0.0,0.0
ASR,Swiggy PAM Sales,Swiggy,298800.0,67471.0,67471.0,67471.0,69828.0,67471.0,79572.0,0.0,0.0,0.0,0.0
ASR,Swiggy Catalouge,Swiggy,31500.0,7113.0,7113.0,7113.0,7113.0,7113.0,7113.0,0.0,0.0,0.0,0.0
ASR,Swiggy NPS,Swiggy,516375.0,119163.0,119163.0,119163.0,122679.0,122675.0,125085.0,0.0,0.0,0.0,0.0
ASR,Swiggy VAM,Swiggy,1844822.0,416573.0,416573.0,416573.0,444180.0,416573.0,426261.0,0.0,0.0,0.0,0.0
ASR,Swiggy Dineout VAM,Swiggy,532500.0,114989.0,120242.0,122868.0,114989.0,128880.0,130424.0,0.0,0.0,0.0,0.0
ASR,Airtel Wynk,Airtel Wynk,362158.0,81778.0,81778.0,81778.0,157399.0,98201.0,98483.0,0.0,0.0,0.0,0.0
ASR,Acko IB,Acko,2280000.0,514839.0,514839.0,409929.0,514839.0,514839.0,409929.0,0.0,0.0,0.0,0.0
ASR,One Plus,One Plus,264000.0,59613.0,59613.0,59613.0,68870.0,72696.0,73120.0,0.0,0.0,0.0,0.0
ASR,Cars24 OB,Cars 24,1987200.0,448723.0,448723.0,448723.0,470208.0,482554.0,472026.0,0.0,0.0,0.0,0.0
ASR,Cars24 IB,Cars 24,331200.0,74787.0,74787.0,74787.0,109289.0,99434.0,99077.0,0.0,0.0,0.0,0.0
